County,State,Total
Autauga County, Alabama,55601
Baldwin County, Alabama,218022
Barbour County, Alabama,24881
Bibb County, Alabama,22400
Blount County, Alabama,57840
Bullock County, Alabama,10138
Butler County, Alabama,19680
Calhoun County, Alabama,114277
Chambers County, Alabama,33615
Cherokee County, Alabama,26032
Chilton County, Alabama,44153
Choctaw County, Alabama,12841
Clarke County, Alabama,23920
Clay County, Alabama,13275
Cleburne County, Alabama,14987
Coffee County, Alabama,51909
Colbert County, Alabama,54762
Conecuh County, Alabama,12277
Coosa County, Alabama,10715
Covington County, Alabama,36986
Crenshaw County, Alabama,13824
Cullman County, Alabama,83442
Dale County, Alabama,48956
Dallas County, Alabama,38310
DeKalb County, Alabama,71385
Elmore County, Alabama,81887
Escambia County, Alabama,36748
Etowah County, Alabama,102501
Fayette County, Alabama,16433
Franklin County, Alabama,31363
Geneva County, Alabama,26314
Greene County, Alabama,8233
Hale County, Alabama,14726
Henry County, Alabama,17209
Houston County, Alabama,104722
Jackson County, Alabama,51736
Jefferson County, Alabama,659300
Lamar County, Alabama,13844
Lauderdale County, Alabama,92387
Lawrence County, Alabama,32957
Lee County, Alabama,163941
Limestone County, Alabama,96174
Lowndes County, Alabama,9974
Macon County, Alabama,18439
Madison County, Alabama,366519
Marengo County, Alabama,19066
Marion County, Alabama,29763
Marshall County, Alabama,96109
Mobile County, Alabama,413757
Monroe County, Alabama,21067
Montgomery County, Alabama,225763
Morgan County, Alabama,119089
Perry County, Alabama,9140
Pickens County, Alabama,19938
Pike County, Alabama,33338
Randolph County, Alabama,22725
Russell County, Alabama,57781
St Clair County, Alabama,88690
Shelby County, Alabama,215707
Sumter County, Alabama,12691
Talladega County, Alabama,79828
Tallapoosa County, Alabama,40497
Tuscaloosa County, Alabama,208911
Walker County, Alabama,63711
Washington County, Alabama,16378
Wilcox County, Alabama,10627
Winston County, Alabama,23660
Aleutians East Borough, Alaska,3515
Aleutians West Census Area, Alaska,5723
Anchorage, Alaska,291538
Bethel Census Area, Alaska,18216
Bristol Bay Borough, Alaska,877
Denali Borough, Alaska,2059
Dillingham Census Area, Alaska,5000
Fairbanks North Star Borough, Alaska,98971
Haines Borough, Alaska,2474
Hoonah-Angoon Census Area, Alaska,2151
Juneau City and Borough, Alaska,32113
Kenai Peninsula Borough, Alaska,58533
Ketchikan Gateway Borough, Alaska,13918
Kodiak Island Borough, Alaska,13345
Kusilvak Census Area, Alaska,8303
Lake and Peninsula Borough, Alaska,1587
Matanuska-Susitna Borough, Alaska,107610
Nome Census Area, Alaska,10008
North Slope Borough, Alaska,9872
Northwest Arctic Borough, Alaska,7671
Petersburg Borough, Alaska,3221
Prince of Wales-Hyder Census Area, Alaska,6422
Sitka City and Borough, Alaska,8647
Skagway Municipality, Alaska,1148
Southeast Fairbanks Census Area, Alaska,6918
Valdez-Cordova Census Area, Alaska,9164
Wrangell City and Borough, Alaska,2503
