,date,county,state,fips,cases,deaths,population,cases_per_capita,deaths_per_capita,fips_state,cases_state,deaths_state,cases_per_state,deaths_per_state
0,2020-01-21,Snohomish,Washington,53061.0,1,0,814901.0,1.2271429290183716e-06,0.0,53,1,0,1.0,0.0
1,2020-01-22,Snohomish,Washington,53061.0,1,0,814901.0,1.2271429290183716e-06,0.0,53,1,0,1.0,0.0
2,2020-01-23,Snohomish,Washington,53061.0,1,0,814901.0,1.2271429290183716e-06,0.0,53,1,0,1.0,0.0
3,2020-01-24,Cook,Illinois,17031.0,1,0,5180493.0,1.9303182148880425e-07,0.0,17,1,0,1.0,0.0
4,2020-01-24,Snohomish,Washington,53061.0,1,0,814901.0,1.2271429290183716e-06,0.0,53,1,0,1.0,0.0
5,2020-01-25,Orange,California,6059.0,1,0,3185968.0,3.138763477850374e-07,0.0,6,1,0,1.0,0.0
6,2020-01-25,Cook,Illinois,17031.0,1,0,5180493.0,1.9303182148880425e-07,0.0,17,1,0,1.0,0.0
7,2020-01-25,Snohomish,Washington,53061.0,1,0,814901.0,1.2271429290183716e-06,0.0,53,1,0,1.0,0.0
8,2020-01-26,Maricopa,Arizona,4013.0,1,0,4410824.0,2.267150083521809e-07,0.0,4,1,0,1.0,0.0
9,2020-01-26,Los Angeles,California,6037.0,1,0,10105518.0,9.895583779079905e-08,0.0,6,2,0,0.5,0.0
10,2020-01-26,Orange,California,6059.0,1,0,3185968.0,3.138763477850374e-07,0.0,6,2,0,0.5,0.0
11,2020-01-26,Cook,Illinois,17031.0,1,0,5180493.0,1.9303182148880425e-07,0.0,17,1,0,1.0,0.0
12,2020-01-26,Snohomish,Washington,53061.0,1,0,814901.0,1.2271429290183716e-06,0.0,53,1,0,1.0,0.0
13,2020-01-27,Maricopa,Arizona,4013.0,1,0,4410824.0,2.267150083521809e-07,0.0,4,1,0,1.0,0.0
14,2020-01-27,Los Angeles,California,6037.0,1,0,10105518.0,9.895583779079905e-08,0.0,6,2,0,0.5,0.0
15,2020-01-27,Orange,California,6059.0,1,0,3185968.0,3.138763477850374e-07,0.0,6,2,0,0.5,0.0
16,2020-01-27,Cook,Illinois,17031.0,1,0,5180493.0,1.9303182148880425e-07,0.0,17,1,0,1.0,0.0
17,2020-01-27,Snohomish,Washington,53061.0,1,0,814901.0,1.2271429290183716e-06,0.0,53,1,0,1.0,0.0
18,2020-01-28,Maricopa,Arizona,4013.0,1,0,4410824.0,2.267150083521809e-07,0.0,4,1,0,1.0,0.0
19,2020-01-28,Los Angeles,California,6037.0,1,0,10105518.0,9.895583779079905e-08,0.0,6,2,0,0.5,0.0
20,2020-01-28,Orange,California,6059.0,1,0,3185968.0,3.138763477850374e-07,0.0,6,2,0,0.5,0.0
21,2020-01-28,Cook,Illinois,17031.0,1,0,5180493.0,1.9303182148880425e-07,0.0,17,1,0,1.0,0.0
22,2020-01-28,Snohomish,Washington,53061.0,1,0,814901.0,1.2271429290183716e-06,0.0,53,1,0,1.0,0.0
23,2020-01-29,Maricopa,Arizona,4013.0,1,0,4410824.0,2.267150083521809e-07,0.0,4,1,0,1.0,0.0
24,2020-01-29,Los Angeles,California,6037.0,1,0,10105518.0,9.895583779079905e-08,0.0,6,2,0,0.5,0.0
25,2020-01-29,Orange,California,6059.0,1,0,3185968.0,3.138763477850374e-07,0.0,6,2,0,0.5,0.0
26,2020-01-29,Cook,Illinois,17031.0,1,0,5180493.0,1.9303182148880425e-07,0.0,17,1,0,1.0,0.0
27,2020-01-29,Snohomish,Washington,53061.0,1,0,814901.0,1.2271429290183716e-06,0.0,53,1,0,1.0,0.0
28,2020-01-30,Maricopa,Arizona,4013.0,1,0,4410824.0,2.267150083521809e-07,0.0,4,1,0,1.0,0.0
29,2020-01-30,Los Angeles,California,6037.0,1,0,10105518.0,9.895583779079905e-08,0.0,6,2,0,0.5,0.0
30,2020-01-30,Orange,California,6059.0,1,0,3185968.0,3.138763477850374e-07,0.0,6,2,0,0.5,0.0
31,2020-01-30,Cook,Illinois,17031.0,2,0,5180493.0,3.860636429776085e-07,0.0,17,2,0,1.0,0.0
32,2020-01-30,Snohomish,Washington,53061.0,1,0,814901.0,1.2271429290183716e-06,0.0,53,1,0,1.0,0.0
33,2020-01-31,Maricopa,Arizona,4013.0,1,0,4410824.0,2.267150083521809e-07,0.0,4,1,0,1.0,0.0
34,2020-01-31,Los Angeles,California,6037.0,1,0,10105518.0,9.895583779079905e-08,0.0,6,3,0,0.3333333333333333,0.0
35,2020-01-31,Orange,California,6059.0,1,0,3185968.0,3.138763477850374e-07,0.0,6,3,0,0.3333333333333333,0.0
36,2020-01-31,Santa Clara,California,6085.0,1,0,1937570.0,5.161103856892913e-07,0.0,6,3,0,0.3333333333333333,0.0
37,2020-01-31,Cook,Illinois,17031.0,2,0,5180493.0,3.860636429776085e-07,0.0,17,2,0,1.0,0.0
38,2020-01-31,Snohomish,Washington,53061.0,1,0,814901.0,1.2271429290183716e-06,0.0,53,1,0,1.0,0.0
39,2020-02-01,Maricopa,Arizona,4013.0,1,0,4410824.0,2.267150083521809e-07,0.0,4,1,0,1.0,0.0
40,2020-02-01,Los Angeles,California,6037.0,1,0,10105518.0,9.895583779079905e-08,0.0,6,3,0,0.3333333333333333,0.0
41,2020-02-01,Orange,California,6059.0,1,0,3185968.0,3.138763477850374e-07,0.0,6,3,0,0.3333333333333333,0.0
